Course Name,Study area,Study type,Location,Entry Score,Prerequisites,Student type,Learning mode,Duration,Fees,Next intake,Course Page
Master of Design (Media & Communication),Media,Research,Melbourne City,,,International,On campus,,,,
PhD (Media & Communication),Media,Research,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Project Management,Property,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Property,Property,PG,Melbourne City,,,International,On campus,,,,
Graduate Diploma in Project Management,Property,PG,Melbourne City,,,International,On campus,,,,
Graduate Diploma in Property,Property,PG,Melbourne City,,,International,On campus,,,,
Master of Project Management,Property,PG,Melbourne City,,,International,On campus,,,,
Master of Property,Property,PG,Melbourne City,,,International,On campus,,,,
Online Graduate Certificate in Project Management,Property,PG,Online,,,International,Online,,,,
Online Graduate Diploma in Project Management,Property,PG,Online,,,International,Online,,,,
Graduate Diploma in Mental Health Nursing,Psychology,PG,Bundoora,,,International,On campus,,,,
Master of Clinical Psychology,Psychology,PG,Bundoora,,,International,On campus,,,,
Master of Science (Digital Health),Psychology,Research,Bundoora,,,International,On campus,,,,
Master of Science (Psychology),Psychology,Research,Bundoora,,,International,On campus,,,,
PhD (Psychology),Psychology,Research,Bundoora,,,International,On campus,,,,
Master of Analytics,Science,PG,Melbourne City,,,International,On campus,,,,
Master of Biotechnology,Science,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Data Science,Science,PG,Melbourne City,,,International,On campus,,,,
Master of Food Science and Technology,Science,PG,"Melbourne City, Bundoora",,,International,On campus,,,,
Master of Geospatial Science,Science,PG,Melbourne City,,,International,On campus,,,,
Master of Laboratory Medicine,Science,PG,Bundoora,,,International,On campus,,,,
Master of Statistics and Operations Research,Science,PG,Melbourne City,,,International,On campus,,,,
Online Graduate Certificate in Data Science,Science,PG,Online,,,International,Online,,,,
Online Master of Data Science Strategy and Leadership,Science,PG,Online,,,International,Online,,,,
Master of Applied Science (Health & Medical Physics),Science,Research,Melbourne City,,,International,On campus,,,,
"Master of Business (Economics, Finance & Marketing)",Science,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Applied Biology & Biotechnology),Science,Research,Bundoora,,,International,On campus,,,,
Master of Science (Applied Chemistry),Science,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Applied Physics),Science,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Digital Health),Science,Research,Bundoora,,,International,On campus,,,,
Master of Science (Food Science),Science,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Geospatial Sciences),Science,Research,Melbourne City,,,International,On campus,,,,
Master of Science (Mathematical Sciences),Science,Research,Melbourne City,,,International,On campus,,,,
PhD (Applied Biology & Biotechnology),Science,Research,Bundoora,,,International,On campus,,,,
PhD (Applied Chemistry),Science,Research,Melbourne City,,,International,On campus,,,,
PhD (Applied Physics),Science,Research,Melbourne City,,,International,On campus,,,,
PhD (Biomedical Engineering),Science,Research,Melbourne City,,,International,On campus,,,,
"PhD (Economics, Finance & Marketing)",Science,Research,Melbourne City,,,International,On campus,,,,
PhD (Food Science),Science,Research,"Melbourne City, Bundoora",,,International,On campus,,,,
PhD (Geospatial Sciences),Science,Research,Melbourne City,,,International,On campus,,,,
"PhD (Global, Urban & Social Studies)",Science,Research,Melbourne City,,,International,On campus,,,,
PhD (Mathematical Sciences),Science,Research,Melbourne City,,,International,On campus,,,,
PhD (Medical Science),Science,Research,Bundoora,,,International,On campus,,,,
Graduate Certificate in Translating and Interpreting,Social and community,PG,"Melbourne City, Online",,,International,On campus,,,,
Graduate Diploma in Translating and Interpreting,Social and community,PG,Melbourne City,,,International,On campus,,,,
Master of Clinical Psychology,Social and community,PG,Bundoora,,,International,On campus,,,,
Master of Global Studies,Social and community,PG,"Melbourne City, Online",,,International,On campus,,,,
Master of Social Work,Social and community,PG,Melbourne City,,,International,On campus,,,,
Master of Translating and Interpreting,Social and community,PG,Melbourne City,,,International,On campus,,,,
Master of Urban Planning and Environment,Social and community,PG,"Melbourne City, Online",,,International,On campus,,,,
Master of Science (Psychology),Social and community,Research,Bundoora,,,International,On campus,,,,
"Master of Social Science (Global, Urban & Social Studies)",Social and community,Research,Melbourne City,,,International,On campus,,,,
"PhD (Global, Urban & Social Studies)",Social and community,Research,Melbourne City,,,International,On campus,,,,
PhD (Psychology),Social and community,Research,Bundoora,,,International,On campus,,,,
